new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location
741,14123,Highways,1,Platanus x hispanica,London plane,10,6,58,Mature,-0.202077,51.551327,"(51.551327, -0.202077)"
742,14144,Parks,1,Platanus x hispanica,London plane,4,2.5,11,Young,-0.121711,51.526998,"(51.526998, -0.121711)"
743,17525,Highways,1,Platanus x hispanica,London plane,21,9,53,Mature,-0.140644,51.524109,"(51.524109, -0.140644)"
744,2539,Housing,1,Platanus x hispanica,London plane,15,5,53,Semi-mature,-0.153015,51.551594,"(51.551594, -0.153015)"
745,23037,Highways,1,Platanus x hispanica,London plane,23,14,90,Mature,-0.126345,51.51565,"(51.51565, -0.126345)"
746,8301,Housing,1,Platanus x hispanica,London plane,18,14,63,Mature,-0.150942,51.552291,"(51.552291, -0.150942)"
747,4885,Parks,1,Platanus x hispanica,London plane,23,22,91,Mature,-0.116157,51.517005,"(51.517005, -0.116157)"
748,13336,Parks,1,Platanus x hispanica,London plane,12,11,50,Semi-mature,-0.127465,51.521749,"(51.521749, -0.127465)"
749,16177,Highways,1,Platanus x hispanica,London plane,8,6,52,Mature,-0.144715,51.537827,"(51.537827, -0.144715)"
750,15823,Housing,1,Platanus x hispanica,London plane,26,16,94,Mature,-0.143318,51.52825,"(51.52825, -0.143318)"
751,9783,Parks,1,Platanus x hispanica,London plane,20,14,83,Mature,-0.192658,51.552071,"(51.552071, -0.192658)"
752,5175,Highways,1,Platanus x hispanica,London plane,10,5,25,Semi-mature,-0.122079,51.5211,"(51.5211, -0.122079)"
753,4495,Highways,1,Platanus x hispanica,London plane,22,10,48,Mature,-0.108088,51.518968,"(51.518968, -0.108088)"
754,17075,Highways,1,Platanus x hispanica,London plane,23,15,122,Mature,-0.171849,51.54015,"(51.54015, -0.171849)"
755,3190,Highways,1,Platanus x hispanica,London plane,10,6,26,Semi-mature,-0.137927,51.536499,"(51.536499, -0.137927)"
756,23612,Highways,1,Platanus x hispanica,London plane,23,16,121,Mature,-0.170876,51.539211,"(51.539211, -0.170876)"
757,8149,Highways,1,Platanus x hispanica,London plane,22,14,83,Mature,-0.120371,51.517826,"(51.517826, -0.120371)"
758,21336,Highways,1,Platanus x hispanica,London plane,16,9,66,Mature,-0.146498,51.564747,"(51.564747, -0.146498)"
759,1420,Highways,1,Platanus x hispanica,London plane,23,12,57,Mature,-0.129789,51.518041,"(51.518041, -0.129789)"
760,11941,Housing,1,Platanus x hispanica,London plane,19,5,71,Mature,-0.15468,51.551283,"(51.551283, -0.15468)"
761,17183,Highways,1,Platanus x hispanica,London plane,9,8,29,Semi-mature,-0.175794,51.549414,"(51.549414, -0.175794)"
762,3374,Parks,1,Platanus x hispanica,London plane,21,17,116,Mature,-0.138979,51.53922,"(51.53922, -0.138979)"
763,20735,Parks,1,Platanus x hispanica,London plane,25,17,144,Mature,-0.118379,51.519211,"(51.519211, -0.118379)"
764,3876,Highways,1,Platanus x hispanica,London plane,18,12,75,Mature,-0.191369,51.55853,"(51.55853, -0.191369)"
765,12607,Highways,1,Platanus x hispanica,London plane,22,14,75,Mature,-0.139903,51.521545,"(51.521545, -0.139903)"
766,8158,Highways,1,Platanus x hispanica,London plane,18,11,65,Mature,-0.151202,51.544328,"(51.544328, -0.151202)"
767,1730,Parks,1,Platanus x hispanica,London plane,21,14,87,Mature,-0.129971,51.535852,"(51.535852, -0.129971)"
768,5285,Highways,1,Platanus x hispanica,London plane,6,2,10,Semi-mature,-0.123996,51.539124,"(51.539124, -0.123996)"
769,23948,Highways,1,Platanus x hispanica,London plane,14,10,59,Mature,-0.149692,51.537879,"(51.537879, -0.149692)"
770,12138,Highways,1,Platanus x hispanica,London plane,21,14,59,Mature,-0.175962,51.548969,"(51.548969, -0.175962)"
771,6865,Highways,1,Platanus x hispanica,London plane,11,7,49,Semi-mature,-0.143953,51.537013,"(51.537013, -0.143953)"
772,9608,Housing,1,Platanus x hispanica,London plane,27,16,145,Late mature,-0.137134,51.531185,"(51.531185, -0.137134)"
773,18376,Highways,1,Platanus x hispanica,London plane,17,9,48,Mature,-0.124941,51.51619,"(51.51619, -0.124941)"
774,10897,Highways,1,Platanus x hispanica,London plane,15,8,69,Mature,-0.207909,51.551404,"(51.551404, -0.207909)"
775,20138,Highways,1,Platanus x hispanica,London plane,9,5,51,Mature,-0.137337,51.554046,"(51.554046, -0.137337)"
776,10941,Highways,1,Platanus x hispanica,London plane,21,9,55,Mature,-0.138837,51.521025,"(51.521025, -0.138837)"
777,12111,Highways,1,Platanus x hispanica,London plane,17,11,87,Mature,-0.189858,51.557814,"(51.557814, -0.189858)"
778,17923,Highways,1,Platanus x hispanica,London plane,18,11,88,Mature,-0.16017,51.545085,"(51.545085, -0.16017)"
779,22414,Highways,1,Platanus x hispanica,London plane,6,3,11,Young,-0.191153,51.553559,"(51.553559, -0.191153)"
780,21101,Highways,1,Platanus x hispanica,London plane,11,9,64,Mature,-0.144321,51.535809,"(51.535809, -0.144321)"
781,1208,Parks,1,Platanus x hispanica,London plane,14,8,35,Semi-mature,-0.122327,51.518826,"(51.518826, -0.122327)"
782,21602,Housing,1,Tilia europaea,Lime - Common,15,6,45,Mature,-0.160861,51.543692,"(51.543692, -0.160861)"
783,1780,Housing,1,Tilia europaea,Lime - Common,16,7,57,Mature,-0.176958,51.543821,"(51.543821, -0.176958)"
784,7132,Highways,1,Tilia europaea,Lime - Common,9,4,36,Mature,-0.137784,51.545768,"(51.545768, -0.137784)"
785,1885,Housing,1,Tilia europaea,Lime - Common,17,5,50,Mature,-0.135205,51.552205,"(51.552205, -0.135205)"
786,21462,Highways,1,Tilia europaea,Lime - Common,16,7,58,Mature,-0.174611,51.552516,"(51.552516, -0.174611)"
787,19358,Parks,1,Tilia europaea,Lime - Common,17,9,43,Mature,-0.148822,51.547748,"(51.547748, -0.148822)"
788,23391,Housing,1,Tilia europaea,Lime - Common,16,8,57,Mature,-0.184375,51.546617,"(51.546617, -0.184375)"
789,7125,Parks,1,Tilia europaea,Lime - Common,15,8,44,Mature,-0.135566,51.534928,"(51.534928, -0.135566)"
790,19601,Housing,1,Tilia europaea,Lime - Common,20,10,68,Mature,-0.176036,51.540706,"(51.540706, -0.176036)"
791,10228,Highways,1,Tilia europaea,Lime - Common,11,5,35,Mature,-0.158412,51.541621,"(51.541621, -0.158412)"
792,3965,Highways,1,Tilia europaea,Lime - Common,11,6,36,Mature,-0.164216,51.557663,"(51.557663, -0.164216)"
793,13045,Housing,1,Tilia europaea,Lime - Common,17,7,58,Semi-mature,-0.148191,51.549245,"(51.549245, -0.148191)"
794,18139,Highways,1,Tilia europaea,Lime - Common,10,5,43,Semi-mature,-0.137836,51.546504,"(51.546504, -0.137836)"
795,13771,Highways,1,Tilia europaea,Lime - Common,15,5,54,Mature,-0.171118,51.553232,"(51.553232, -0.171118)"
796,23672,Highways,1,Tilia europaea,Lime - Common,14,8,34,Semi-mature,-0.14735,51.544464,"(51.544464, -0.14735)"
797,15997,Highways,1,Tilia europaea,Lime - Common,14,7,57,Mature,-0.163387,51.557735,"(51.557735, -0.163387)"
798,17309,Housing,1,Tilia europaea,Lime - Common,12,8,43,Mature,-0.133401,51.548857,"(51.548857, -0.133401)"
799,5323,Highways,1,Tilia europaea,Lime - Common,13,7,56,Mature,-0.202009,51.552509,"(51.552509, -0.202009)"
800,7199,Highways,1,Tilia europaea,Lime - Common,18,10,67,Mature,-0.173022,51.559519,"(51.559519, -0.173022)"
801,498,Housing,1,Tilia europaea,Lime - Common,6,3.5,14,Semi-mature,-0.126168,51.542674,"(51.542674, -0.126168)"
802,8715,Housing,1,Tilia europaea,Lime - Common,5,3.5,11,Semi-mature,-0.126118,51.542239,"(51.542239, -0.126118)"
803,10870,Parks,1,Tilia europaea,Lime - Common,15,8,47,Mature,-0.136535,51.533541,"(51.533541, -0.136535)"
804,19475,Housing,1,Betula pendula,Birch - Silver,14,9,38,Mature,-0.150063,51.560647,"(51.560647, -0.150063)"
805,14118,Parks,1,Betula pendula,Birch - Silver,12,4,11,Semi-mature,-0.138247,51.544719,"(51.544719, -0.138247)"
806,7730,Housing,1,Betula pendula,Birch - Silver,16,8,37,Mature,-0.151199,51.553878,"(51.553878, -0.151199)"
807,15115,Housing,1,Betula pendula,Birch - Silver,9,5,22,Mature,-0.140379,51.558135,"(51.558135, -0.140379)"
808,3606,Housing,1,Betula pendula,Birch - Silver,7,4,14,Semi-mature,-0.15236,51.553591,"(51.553591, -0.15236)"
809,9794,Highways,1,Betula pendula,Birch - Silver,14,4,26,Semi-mature,-0.190349,51.551212,"(51.551212, -0.190349)"
810,8550,Highways,1,Betula pendula,Birch - Silver,12,6,27,Mature,-0.139639,51.548689,"(51.548689, -0.139639)"
811,3672,Highways,1,Betula pendula,Birch - Silver,15,6,32,Mature,-0.151875,51.549339,"(51.549339, -0.151875)"
812,23931,Housing,1,Betula pendula,Birch - Silver,12,10,45,Mature,-0.15153,51.553903,"(51.553903, -0.15153)"
813,8155,Parks,1,Betula pendula,Birch - Silver,13,5,26,Mature,-0.133236,51.547604,"(51.547604, -0.133236)"
814,19365,Highways,1,Betula pendula,Birch - Silver,10,4,20,Semi-mature,-0.161074,51.553408,"(51.553408, -0.161074)"
815,15764,Housing,1,Betula pendula,Birch - Silver,10,5,22,Mature,-0.128041,51.546728,"(51.546728, -0.128041)"
