new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location
901,18722,Housing,1,Carpinus betulus,Hornbeam,7,5,15,Young,-0.141666,51.548695,"(51.548695, -0.141666)"
902,18116,Highways,1,Carpinus betulus,Hornbeam,5,1,10,Young,-0.134839,51.550338,"(51.550338, -0.134839)"
903,2490,Highways,1,Carpinus betulus,Hornbeam,4,1,3,Young,-0.167204,51.550998,"(51.550998, -0.167204)"
904,10453,Highways,1,Alnus cordata,Alder - Italian,21,8,42,Semi-mature,-0.126906,51.514253,"(51.514253, -0.126906)"
905,16716,Housing,1,Alnus cordata,Alder - Italian,11,5,36,Semi-mature,-0.201913,51.549823,"(51.549823, -0.201913)"
906,16067,Parks,1,Alnus cordata,Alder - Italian,15,4,30,Mature,-0.134836,51.540649,"(51.540649, -0.134836)"
907,2603,Highways,1,Alnus cordata,Alder - Italian,23,9,52,Mature,-0.13291,51.519089,"(51.519089, -0.13291)"
908,21407,Highways,1,Alnus cordata,Alder - Italian,3,2,4,Young,-0.193025,51.53882,"(51.53882, -0.193025)"
909,20738,Highways,1,Prunus cerasifera 'Pissardii',Plum,9,5,35,Mature,-0.165575,51.548955,"(51.548955, -0.165575)"
910,13931,Highways,1,Prunus cerasifera 'Pissardii',Plum,5,4,17,Semi-mature,-0.167156,51.544912,"(51.544912, -0.167156)"
911,10374,Highways,1,Prunus cerasifera 'Pissardii',Plum,7,6,42,Mature,-0.14653,51.559503,"(51.559503, -0.14653)"
912,20530,Highways,1,Prunus cerasifera 'Pissardii',Plum,6,4,21,Semi-mature,-0.13464,51.535964,"(51.535964, -0.13464)"
913,18747,Highways,1,Malus unidentified species,Apple,5,8,27,Mature,-0.174265,51.557151,"(51.557151, -0.174265)"
914,5022,Parks,1,Acer pseudoplatanus,Sycamore,17,8,47,Mature,-0.143399,51.569574,"(51.569574, -0.143399)"
915,15595,Highways,1,Acer pseudoplatanus,Sycamore,12,5,23,Semi-mature,-0.126692,51.523971,"(51.523971, -0.126692)"
916,7717,Parks,1,Acer pseudoplatanus,Sycamore,20,9,55,Mature,-0.148543,51.557827,"(51.557827, -0.148543)"
917,9832,Parks,1,Acer pseudoplatanus,Sycamore,16,9,39,Semi-mature,-0.147071,51.568457,"(51.568457, -0.147071)"
918,13982,Housing,1,Acer pseudoplatanus,Sycamore,16,8,37,Mature,-0.149932,51.557207,"(51.557207, -0.149932)"
919,11064,Housing,1,Acer pseudoplatanus,Sycamore,15,8,30,Mature,-0.210226,51.558655,"(51.558655, -0.210226)"
920,688,Housing,1,Acer pseudoplatanus,Sycamore,10,4,36,Semi-mature,-0.183383,51.558933,"(51.558933, -0.183383)"
921,17817,Parks,1,Acer pseudoplatanus,Sycamore,16,14,58,Mature,-0.139258,51.538351,"(51.538351, -0.139258)"
922,10468,Housing,1,Acer pseudoplatanus,Sycamore,22,14,64,Mature,-0.140495,51.528636,"(51.528636, -0.140495)"
923,8529,Housing,1,Acer pseudoplatanus,Sycamore,18,9,56,Mature,-0.18965,51.535631,"(51.535631, -0.18965)"
924,13703,Housing,1,Acer pseudoplatanus,Sycamore,22,14,60,Mature,-0.136225,51.542272,"(51.542272, -0.136225)"
925,15974,Parks,1,Acer pseudoplatanus,Sycamore,24,11,60,Mature,-0.14688,51.568216,"(51.568216, -0.14688)"
926,14913,Housing,1,Acer pseudoplatanus,Sycamore,20,9,46,Mature,-0.146611,51.564451,"(51.564451, -0.146611)"
927,9954,Housing,1,Acer pseudoplatanus,Sycamore,17,13,65,Mature,-0.152968,51.548645,"(51.548645, -0.152968)"
928,15072,Housing,1,Acer pseudoplatanus,Sycamore,20,10,66,Mature,-0.128045,51.527656,"(51.527656, -0.128045)"
929,9973,Parks,1,Acer pseudoplatanus,Sycamore,10,4,13,Young,-0.161957,51.552142,"(51.552142, -0.161957)"
930,11952,Parks,1,Acer pseudoplatanus,Sycamore,15,9,32,Semi-mature,-0.161976,51.552127,"(51.552127, -0.161976)"
931,2798,Housing,1,Acer pseudoplatanus,Sycamore,22,10,66,Mature,-0.136235,51.542386,"(51.542386, -0.136235)"
932,3210,Highways,1,Acer pseudoplatanus,Sycamore,10,3,18,Semi-mature,-0.140799,51.529753,"(51.529753, -0.140799)"
933,856,Highways,1,Fraxinus excelsior,Ash,18,8,57,Mature,-0.138988,51.541715,"(51.541715, -0.138988)"
934,18711,Highways,1,Fraxinus excelsior,Ash,12,8,41,Mature,-0.131609,51.548877,"(51.548877, -0.131609)"
935,24103,Highways,1,Fraxinus excelsior,Ash,6,4,16,Semi-mature,-0.145757,51.544872,"(51.544872, -0.145757)"
936,3305,Highways,1,Fraxinus excelsior,Ash,18,13,59,Mature,-0.134919,51.536467,"(51.536467, -0.134919)"
937,2856,Highways,1,Fraxinus excelsior,Ash,12,7,44,Mature,-0.140006,51.555266,"(51.555266, -0.140006)"
938,755,Parks,1,Malus unidentified species,Apple,4,1,5,Young,-0.116091,51.525107,"(51.525107, -0.116091)"
939,17587,Housing,1,Malus unidentified species,Apple,5,3,14,Semi-mature,-0.138908,51.532457,"(51.532457, -0.138908)"
940,6840,Housing,1,Prunus avium,"Cherry - Wild, Gean",2.2,3.5,9,Early mature,-0.128867,51.529629,"(51.529629, -0.128867)"
941,21470,Highways,1,Prunus avium,"Cherry - Wild, Gean",6,3,10,Semi-mature,-0.151556,51.546958,"(51.546958, -0.151556)"
942,15792,Highways,1,Prunus avium,"Cherry - Wild, Gean",14,9,46,Mature,-0.129371,51.526623,"(51.526623, -0.129371)"
943,2791,Housing,1,Prunus avium,"Cherry - Wild, Gean",10,8,45,Mature,-0.200476,51.549335,"(51.549335, -0.200476)"
944,18099,Highways,1,Prunus avium,"Cherry - Wild, Gean",9,7,37,Mature,-0.197003,51.557791,"(51.557791, -0.197003)"
945,6776,Housing,1,Prunus avium,"Cherry - Wild, Gean",18,9,69,Mature,-0.134648,51.531864,"(51.531864, -0.134648)"
946,22641,Parks,1,Prunus avium,"Cherry - Wild, Gean",8,3,14,Semi-mature,-0.133933,51.540827,"(51.540827, -0.133933)"
947,7891,Parks,1,Prunus avium,"Cherry - Wild, Gean",11,9,40,Mature,-0.196549,51.549782,"(51.549782, -0.196549)"
948,11752,Housing,1,Prunus avium,"Cherry - Wild, Gean",12,9,44,Mature,-0.159324,51.552098,"(51.552098, -0.159324)"
949,24400,Highways,1,Sorbus aria,Whitebeam,9,8,44,Mature,-0.148699,51.546358,"(51.546358, -0.148699)"
950,14089,Highways,1,Sorbus aria,Whitebeam,8,4,35,Mature,-0.193479,51.543049,"(51.543049, -0.193479)"
951,22556,Highways,1,Sorbus aria,Whitebeam,10,6,40,Semi-mature,-0.124299,51.528353,"(51.528353, -0.124299)"
952,17418,Housing,1,Sorbus aucuparia,"Rowan, Mountain Ash",12,4,24,Semi-mature,-0.151679,51.546137,"(51.546137, -0.151679)"
953,11328,Housing,1,Sorbus aucuparia,"Rowan, Mountain Ash",15,5,19,Semi-mature,-0.13058,51.534507,"(51.534507, -0.13058)"
954,11138,Highways,1,Sorbus aucuparia,"Rowan, Mountain Ash",7,4,14,Semi-mature,-0.123701,51.519607,"(51.519607, -0.123701)"
955,8893,Housing,1,Acer pseudoplatanus,Sycamore,16,8,45,Mature,-0.199237,51.544807,"(51.544807, -0.199237)"
956,10132,Housing,1,Acer pseudoplatanus,Sycamore,15,8,40,Mature,-0.175498,51.542106,"(51.542106, -0.175498)"
957,87,Housing,1,Acer pseudoplatanus,Sycamore,15,12,55,Mature,-0.158551,51.543911,"(51.543911, -0.158551)"
958,12915,Parks,1,Acer pseudoplatanus,Sycamore,22,13,63,Mature,-0.146239,51.567012,"(51.567012, -0.146239)"
959,8932,Housing,1,Acer pseudoplatanus,Sycamore,13,6,21,Semi-mature,-0.184334,51.559543,"(51.559543, -0.184334)"
960,5291,Highways,1,Acer pseudoplatanus,Sycamore,18,10,47,Mature,-0.154952,51.544945,"(51.544945, -0.154952)"
961,16659,Housing,1,Acer pseudoplatanus,Sycamore,13,10,42,Mature,-0.153409,51.547196,"(51.547196, -0.153409)"
962,6539,Housing,1,Acer pseudoplatanus,Sycamore,9,5,18,Semi-mature,-0.184824,51.53814,"(51.53814, -0.184824)"
963,1042,Housing,1,Acer pseudoplatanus,Sycamore,13,15,49,Mature,-0.153663,51.547184,"(51.547184, -0.153663)"
964,2207,Housing,1,Acer pseudoplatanus,Sycamore,15,9,51,Mature,-0.17625,51.554505,"(51.554505, -0.17625)"
965,21873,Housing,1,Prunus avium,"Cherry - Wild, Gean",4,1,6,Young,-0.161905,51.542106,"(51.542106, -0.161905)"
966,16773,Housing,1,Prunus avium,"Cherry - Wild, Gean",9,6,26,Semi-mature,-0.161878,51.542048,"(51.542048, -0.161878)"
967,11529,Housing,1,Prunus avium,"Cherry - Wild, Gean",7,6,47,Mature,-0.130097,51.530565,"(51.530565, -0.130097)"
968,5843,Parks,1,Prunus avium,"Cherry - Wild, Gean",9,8,36,Semi-mature,-0.172924,51.542005,"(51.542005, -0.172924)"
969,22366,Housing,1,Prunus avium,"Cherry - Wild, Gean",5,4,12,Semi-mature,-0.176376,51.543383,"(51.543383, -0.176376)"
970,9166,Housing,1,Prunus avium,"Cherry - Wild, Gean",16,9,64,Mature,-0.159984,51.55163,"(51.55163, -0.159984)"
971,14994,Housing,1,Tilia europaea,Lime - Common,16,7,50,Mature,-0.183303,51.546027,"(51.546027, -0.183303)"
972,21275,Housing,1,Tilia europaea,Lime - Common,16,9,36,Semi-mature,-0.176015,51.539782,"(51.539782, -0.176015)"
973,14179,Parks,1,Tilia europaea,Lime - Common,20,8,65,Mature,-0.182175,51.559315,"(51.559315, -0.182175)"
974,14348,Highways,1,Tilia europaea,Lime - Common,8,9,31,Semi-mature,-0.172603,51.559924,"(51.559924, -0.172603)"
975,2027,Highways,1,Tilia europaea,Lime - Common,24,15,77,Mature,-0.168202,51.550164,"(51.550164, -0.168202)"
976,413,Parks,1,Tilia europaea,Lime - Common,17,8,39,Mature,-0.149177,51.547645,"(51.547645, -0.149177)"
977,14883,Highways,1,Tilia europaea,Lime - Common,12,6,41,Mature,-0.139303,51.547141,"(51.547141, -0.139303)"
978,4083,Housing,1,Tilia europaea,Lime - Common,25,10,68,Mature,-0.135751,51.542301,"(51.542301, -0.135751)"
979,20006,Highways,1,Tilia europaea,Lime - Common,12,4,24,Semi-mature,-0.117064,51.525317,"(51.525317, -0.117064)"
980,10371,Housing,1,Tilia europaea,Lime - Common,20,10,73,Mature,-0.147301,51.566065,"(51.566065, -0.147301)"
981,9015,Parks,1,Tilia europaea,Lime - Common,15,7,49,Mature,-0.121981,51.524859,"(51.524859, -0.121981)"
982,16307,Highways,1,Aesculus hippocastanum,Horse Chestnut,11,12,62,Mature,-0.165224,51.554199,"(51.554199, -0.165224)"
983,19665,Highways,1,Aesculus hippocastanum,Horse Chestnut,15,13,76,Mature,-0.174742,51.56889,"(51.56889, -0.174742)"
984,14499,Housing,1,Robinia pseudoacacia,False Acacia,16,11,70,Late mature,-0.140387,51.529243,"(51.529243, -0.140387)"
985,12692,Highways,1,Tilia europaea,Lime - Common,14,9,43,Semi-mature,-0.176424,51.55466,"(51.55466, -0.176424)"
986,13027,Parks,1,Tilia europaea,Lime - Common,10,9,50,Mature,-0.139075,51.533145,"(51.533145, -0.139075)"
987,15394,Housing,1,Tilia europaea,Lime - Common,15,9,48,Mature,-0.142533,51.565376,"(51.565376, -0.142533)"
988,10430,Parks,1,Tilia europaea,Lime - Common,11,8,48,Mature,-0.13911,51.53286,"(51.53286, -0.13911)"
989,13778,Highways,1,Tilia europaea,Lime - Common,16,5,42,Mature,-0.17218,51.553614,"(51.553614, -0.17218)"
990,14435,Housing,1,Tilia europaea,Lime - Common,15,7,39,Mature,-0.135416,51.542203,"(51.542203, -0.135416)"
991,551,Housing,1,Tilia europaea,Lime - Common,18,7,41,Mature,-0.149704,51.544902,"(51.544902, -0.149704)"
992,24070,Housing,1,Tilia europaea,Lime - Common,16,5,39,Mature,-0.134083,51.54243,"(51.54243, -0.134083)"
993,23312,Housing,1,Tilia europaea,Lime - Common,17,7,53,Mature,-0.190862,51.537115,"(51.537115, -0.190862)"
994,19691,Highways,1,Tilia europaea,Lime - Common,16,7,54,Mature,-0.168964,51.544766,"(51.544766, -0.168964)"
995,19490,Highways,1,Tilia europaea,Lime - Common,8,4,36,Semi-mature,-0.192538,51.546035,"(51.546035, -0.192538)"
996,9557,Highways,1,Tilia europaea,Lime - Common,12,6,31,Semi-mature,-0.146717,51.563472,"(51.563472, -0.146717)"
997,6398,Highways,1,Tilia europaea,Lime - Common,14,9,55,Mature,-0.150848,51.569528,"(51.569528, -0.150848)"
998,11162,Housing,1,Tilia europaea,Lime - Common,20,8,40,Mature,-0.204206,51.547573,"(51.547573, -0.204206)"
999,5490,Parks,1,Tilia europaea,Lime - Common,22,13,78,Mature,-0.141695,51.567568,"(51.567568, -0.141695)"
1000,22447,Housing,1,Tilia europaea,Lime - Common,12,8,64,Mature,-0.137096,51.531769,"(51.531769, -0.137096)"
